title,date,link,symbol
"BP Plans to Divest Offshore Wind Stakes, Cut Back on Renewables",2024-10-18,https://finance.yahoo.com/news/bp-plans-divest-offshore-wind-172600421.html,BP
"Exclusive-BP weighs sale of minority stake in offshore wind business, sources say",2024-10-17,https://finance.yahoo.com/news/exclusive-bp-weighs-sale-minority-163341748.html,BP
BP Faces Headwinds Over Weaker Refining Margins & Sluggish Oil Demand,2024-10-16,https://finance.yahoo.com/news/bp-faces-headwinds-over-weaker-134700520.html,BP
Crude Oil Prices Slide More Than 4%,2024-10-15,https://finance.yahoo.com/m/2f8c99cf-73aa-3ec3-ab74-8ff1c45edb69/crude-oil-prices-slide-more.html,BP
Activist Investor Doubles Down on Calls for Executive Changes at BP,2024-10-14,https://finance.yahoo.com/m/4e8e7188-973d-349a-bebd-fa2fe9c771e4/activist-investor-doubles.html,BP
BP Forecasts Mixed Q3 2024 Financials,2024-10-12,https://finance.yahoo.com/news/bp-forecasts-mixed-q3-2024-104713107.html,BP
BP warns of weakening refinery margins in its third quarter,2024-10-11,https://finance.yahoo.com/video/bp-warns-weakening-refinery-margins-203520906.html,BP
British Airways cancels hundreds of flights because of Rolls-Royce engine issues,2024-10-11,https://finance.yahoo.com/m/2557f75c-a32a-3ca7-93ab-583678f0e4cc/british-airways-cancels.html,BP
Equinor ASA: Share buy-back,2024-10-18,https://finance.yahoo.com/news/equinor-asa-share-buy-back-060000587.html,EQNR
Equinor ASA: Buy-back of shares to share programmes for employees,2024-10-17,https://finance.yahoo.com/news/equinor-asa-buy-back-shares-121000586.html,EQNR
Equinor upgraded to Equal Weight from Underweight at Morgan Stanley,2024-10-12,https://finance.yahoo.com/news/equinor-upgraded-equal-weight-underweight-205517614.html,EQNR
Jim Cramer on Equinor ASA (EQNR): ‘I’m Not Encouraging Buying In That Sector’,2024-10-11,https://finance.yahoo.com/news/jim-cramer-equinor-asa-eqnr-195506683.html,EQNR
Funko and Matador Resources have been highlighted as Zacks Bull and Bear of the Day,2024-10-11,https://finance.yahoo.com/news/funko-matador-resources-highlighted-zacks-123900564.html,EQNR
TechnipFMC Secures iEPCI Contract for BP's Kaskida Development,2024-10-10,https://finance.yahoo.com/news/technipfmc-secures-iepci-contract-bps-140000591.html,EQNR
"3 Key Stocks Leading the Energy Transition Race: EQNR, SHEL, ENB",2024-10-10,https://finance.yahoo.com/news/3-key-stocks-leading-energy-131500330.html,EQNR
Equinor and Polenergia engage consortium for Baltyk 1 design and permits,2024-10-10,https://finance.yahoo.com/m/8cfbc5ab-6227-3984-9412-74c2a4060621/equinor-and-polenergia-engage.html,EQNR
Will Suncor Energy (SU) Beat Estimates Again in Its Next Earnings Report?,2024-10-14,https://finance.yahoo.com/news/suncor-energy-su-beat-estimates-161014597.html,SU
Suncor Energy (SU): One of the Most Profitable Canadian Stocks to Invest In Now,2024-10-09,https://finance.yahoo.com/news/suncor-energy-su-one-most-162456887.html,SU
3 TSX Dividend Stocks Yielding Up To 6.5%,2024-10-07,https://finance.yahoo.com/news/3-tsx-dividend-stocks-yielding-120955324.html,SU
Is Suncor Energy (SU) the Best Cheap Energy Stock to Invest In?,2024-10-04,https://finance.yahoo.com/news/suncor-energy-su-best-cheap-164016242.html,SU
Suncor Announces Pricing of Tender Offers for Certain Outstanding Series of Notes,2024-10-03,https://finance.yahoo.com/news/suncor-announces-pricing-tender-offers-201800494.html,SU
Suncor Announces Early Tender Results and Increase of Tender Offers for Certain Outstanding Series of Notes,2024-10-03,https://finance.yahoo.com/news/suncor-announces-early-tender-results-045500880.html,SU
Suncor's Guilty Plea in 2019 Incident: Fines to be Imposed,2024-10-01,https://finance.yahoo.com/news/suncors-guilty-plea-2019-incident-114400506.html,SU
Suncor Energy's Shares Up 15% Year to Date: Time to Buy or Hold?,2024-09-30,https://finance.yahoo.com/news/suncor-energys-shares-15-date-104700417.html,SU
Eni S.p.A. (E): An Undervalued Foreign Stock to Buy According to Analysts,2024-10-15,https://finance.yahoo.com/news/eni-p-e-undervalued-foreign-113639034.html,E
Eni in Talks With Suitors for Stake in New Carbon Capture Unit,2024-10-15,https://finance.yahoo.com/news/eni-talks-suitors-stake-carbon-084417218.html,E
Eni's Plenitude Expands Spanish Footprint With New Wind Plant,2024-10-11,https://finance.yahoo.com/news/enis-plenitude-expands-spanish-footprint-133000389.html,E
"The Zacks Analyst Blog ExxonMobil's, APA, TotalEnergies', Eni SpA and EQT",2024-10-11,https://finance.yahoo.com/news/zacks-analyst-blog-exxonmobils-apa-122200294.html,E
"Oil & Gas Stock Roundup: XOM's Q3 Update, APA-TTE's Suriname FID & More",2024-10-10,https://finance.yahoo.com/news/oil-gas-stock-roundup-xoms-150000204.html,E
ENI Partner Agra Energi Exploring Selling Stake in North Ganal Gas Block in Indonesia,2024-10-10,https://finance.yahoo.com/news/eni-partner-agra-energi-exploring-073106706.html,E
"Eni Backs CLEAN Initiative, Expands LNG Cooperation With Japan",2024-10-08,https://finance.yahoo.com/news/eni-backs-clean-initiative-expands-143000589.html,E
Eni to Develop CCS Project to Aid UK's Decarbonization Efforts,2024-10-07,https://finance.yahoo.com/news/eni-develop-ccs-project-aid-142300813.html,E
"Goldman Sachs Adjusts Price Target on Valero Energy to $130 From $131, Maintains Sell Rating",2024-10-18,https://finance.yahoo.com/news/goldman-sachs-adjusts-price-target-134856594.html,VLO
Valero Energy (VLO) Ascends While Market Falls: Some Facts to Note,2024-10-17,https://finance.yahoo.com/news/valero-energy-vlo-ascends-while-221520362.html,VLO
Southwest Airlines Signs 2-Year Sustainable Aviation Supply Deal With Valero Energy Unit,2024-10-17,https://finance.yahoo.com/news/southwest-airlines-signs-2-sustainable-153451707.html,VLO
Darling Ingredients Inc. Announces Agreement to Bring Sustainable Aviation Fuel Supply to Chicago Midway Airport through Diamond Green Diesel Joint Venture,2024-10-17,https://finance.yahoo.com/news/darling-ingredients-inc-announces-agreement-152500611.html,VLO
SOUTHWEST AIRLINES BRINGS SUSTAINABLE AVIATION FUEL TO CHICAGO MIDWAY INTERNATIONAL AIRPORT IN THE STATE'S LARGEST SAF SUPPLY AGREEMENT,2024-10-17,https://finance.yahoo.com/news/southwest-airlines-brings-sustainable-aviation-150000993.html,VLO
Analysts Estimate Valero Energy (VLO) to Report a Decline in Earnings: What to Look Out for,2024-10-17,https://finance.yahoo.com/news/analysts-estimate-valero-energy-vlo-140135078.html,VLO
"TD Cowen Adjusts Price Target on Valero Energy to $145 From $143, Maintains Buy Rating",2024-10-16,https://finance.yahoo.com/news/td-cowen-adjusts-price-target-132230796.html,VLO
Morgan Stanley Adjusts Price Target on Valero Energy to $165 From $167,2024-10-15,https://finance.yahoo.com/news/morgan-stanley-adjusts-price-target-132329668.html,VLO
"Wells Fargo Trims Diamondback Energy Price Target to $218 From $219, Maintains Overweight Rating",2024-10-18,https://finance.yahoo.com/news/wells-fargo-trims-diamondback-energy-120644706.html,FANG
"Susquehanna Adjusts Diamondback Energy Price Target to $233 From $237, Maintains Positive Rating",2024-10-18,https://finance.yahoo.com/news/susquehanna-adjusts-diamondback-energy-price-120549331.html,FANG
State Street Corp's Strategic Acquisition in Diamondback Energy Inc,2024-10-17,https://finance.yahoo.com/news/state-street-corps-strategic-acquisition-230216060.html,FANG
"Truist Securities Adjusts Price Target on Diamondback Energy to $230 From $220, Maintains Buy Rating",2024-10-16,https://finance.yahoo.com/news/truist-securities-adjusts-price-target-144535696.html,FANG
Workday and Vail Resorts have been highlighted as Zacks Bull and Bear of the Day,2024-10-16,https://finance.yahoo.com/news/workday-vail-resorts-highlighted-zacks-135800996.html,FANG
"KeyBanc Lowers Price Target on Diamondback Energy to $216 From $225, Keeps Overweight Rating",2024-10-16,https://finance.yahoo.com/news/keybanc-lowers-price-target-diamondback-105017577.html,FANG
What Investors Should Note From OPEC's Monthly Oil Market Report,2024-10-15,https://finance.yahoo.com/news/investors-note-opecs-monthly-oil-190000713.html,FANG
Piper Sandler Adjusts Price Target on Diamondback Energy to $252 From $240,2024-10-15,https://finance.yahoo.com/news/piper-sandler-adjusts-price-target-133908191.html,FANG
"Coterra Energy Schedules Third-Quarter 2024 Results Conference Call for Friday, November 1, 2024",2024-10-03,https://finance.yahoo.com/news/coterra-energy-schedules-third-quarter-200500863.html,CTRA
Top US Dividend Stocks To Consider In October 2024,2024-10-03,https://finance.yahoo.com/news/top-us-dividend-stocks-consider-111028217.html,CTRA
Jim Cramer Reports JPMorgan Cuts Coterra Energy Inc. (CTRA) Target And Keeps Overweight Rating,2024-09-17,https://finance.yahoo.com/news/jim-cramer-reports-jpmorgan-cuts-233150143.html,CTRA
Coterra Energy to Participate at Upcoming Conference,2024-08-28,https://finance.yahoo.com/news/coterra-energy-participate-upcoming-conference-200500714.html,CTRA
Coterra Energy (NYSE:CTRA) Has Affirmed Its Dividend Of $0.21,2024-08-07,https://finance.yahoo.com/news/coterra-energy-nyse-ctra-affirmed-190054851.html,CTRA
Coterra Energy Inc. Just Missed EPS By 22%: Here's What Analysts Think Will Happen Next,2024-08-06,https://finance.yahoo.com/news/coterra-energy-inc-just-missed-185938455.html,CTRA
Coterra Energy Second Quarter 2024 Earnings: Misses Expectations,2024-08-03,https://finance.yahoo.com/news/coterra-energy-second-quarter-2024-120128340.html,CTRA
"Coterra Energy Reports Second-Quarter 2024 Results, Announces Quarterly Dividend, and Provides Third-Quarter 2024 Guidance and Full-Year 2024 Updates",2024-08-01,https://finance.yahoo.com/news/coterra-energy-reports-second-quarter-202900983.html,CTRA
HF Sinclair Corp (DINO) is Among the Best Oil Refinery Stocks To Buy Now,2024-10-12,https://finance.yahoo.com/news/hf-sinclair-corp-dino-among-134518560.html,DINO
HF Sinclair (DINO): Most Undervalued Stock to Consider for Investment,2024-10-06,https://finance.yahoo.com/news/hf-sinclair-dino-most-undervalued-120317722.html,DINO
HF Sinclair Corporation's (NYSE:DINO) Intrinsic Value Is Potentially 62% Above Its Share Price,2024-09-24,https://finance.yahoo.com/news/hf-sinclair-corporations-nyse-dino-122039290.html,DINO
"UBS Adjusts HF Sinclair Price Target to $58 From $70, Maintains Buy Rating",2024-09-16,https://finance.yahoo.com/news/ubs-adjusts-hf-sinclair-price-144236368.html,DINO
